,Name,Genre,Director,Cast
189,Who's Afraid of Virginia Woolf?,Drama,Mike Nichols,Elizabeth Taylor/Richard Burton
190,High Noon,Drama/Thriller/Western,Fred Zinnemann,Gary Cooper/Grace Kelly
191,Infernal Affairs (2002),Crime/Drama/Mystery,Wai-Keung Lau,Andy Lau/Tony Chiu Wai Leung
192,Departures,Drama/Music,Yôjirô Takita,Masahiro Motoki/Ryôko Hirosue
193,Notorious,Biography/Crime/Drama,George Tillman Jr.,Jamal Woolard/Anthony Mackie
194,The Celebration,Drama,Thomas Vinterberg,Ulrich Thomsen/Henning Moritzen
195,Kill Bill: Vol. 1,Action/Thriller,Quentin Tarantino,Uma Thurman/David Carradine
196,Finding Nemo,Animation/Adventure/Comedy,Andrew Stanton,Albert Brooks/Ellen DeGeneres
197,Stalag 17 (1953),Drama/War,Billy Wilder,William Holden/Don Taylor
198,Ben-Hur,Adventure/Drama/History,William Wyler,Charlton Heston/Jack Hawkins
199,No Country for Old Men,Crime/Drama/Thriller,Ethan Coen,Tommy Lee Jones/Javier Bardem
200,In the Name of the Father,Biography/Drama/History,Jim Sheridan,Daniel Day-Lewis/Pete Postlethwaite
201,Elite Squad: The Enemy Within,Action/Crime/Drama,José Padilha,Wagner Moura/Irandhir Santos
202,Stand by Me,Adventure/Drama,Rob Reiner,Wil Wheaton/River Phoenix
203,The Wizard of Oz,Adventure/Family/Fantasy,Victor Fleming,Judy Garland/Frank Morgan
204,Donnie Darko,Drama/Sci-Fi/Thriller,Richard Kelly,Jake Gyllenhaal/Jena Malone
205,Strangers on a Train,Crime/Film-Noir/Thriller,Alfred Hitchcock,Farley Granger/Robert Walker
206,The Night of the Hunter,Crime/Drama/Film-Noir,Charles Laughton,Robert Mitchum/Shelley Winters
207,La Dolce Vita,Comedy/Drama,Federico Fellini,Marcello Mastroianni/Anita Ekberg
208,Memories of Murder (Saliniui Chueok),Crime/Drama/Mystery,Joon-ho Bong,Kang-ho Song/Sang-kyung Kim
209,The Big Sleep,Crime/Film-Noir/Mystery,Howard Hawks,Humphrey Bogart/Lauren Bacall
210,Ip Man,Action/Biography/Drama,Wilson Yip,Donnie Yen/Simon Yam
211,In the Mood for Love,Drama/Romance,Kar-Wai Wong,Tony Chiu Wai Leung/Maggie Cheung
212,Gandhi,Biography/Drama/History,Richard Attenborough,Ben Kingsley/John Gielgud
213,A Christmas Story,Comedy/Family,Bob Clark,Peter Billingsley/Melinda Dillon
214,Harry Potter and the Deathly Hallows: Part 2,Adventure/Drama/Fantasy,David Yates,Daniel Radcliffe/Emma Watson
215,La Haine,Crime/Drama,Mathieu Kassovitz,Vincent Cassel/Hubert Koundé
216,The Legend of 1900,Drama/Music/Romance,Giuseppe Tornatore,Tim Roth/Pruitt Taylor Vince
217,"Three Colors: Red (1994, Krzysztof Kieslowski)",Drama/Mystery/Romance,Krzysztof Kieslowski,Irène Jacob/Jean-Louis Trintignant
218,Castle in the Sky,Animation/Adventure/Family,Hayao Miyazaki,Anna Paquin/James Van Der Beek
219,There Will Be Blood,Drama,Paul Thomas Anderson,Daniel Day-Lewis/Paul Dano
220,Das Bourne Ultimatum,Action/Mystery/Thriller,Paul Greengrass,Matt Damon/Edgar Ramírez
221,The Hustler (1961),Drama/Sport,Robert Rossen,Paul Newman/Jackie Gleason
222,Million Dollar Baby,Drama/Sport,Clint Eastwood,Hilary Swank/Clint Eastwood
223,Barry Lyndon,Adventure/Drama/History,Stanley Kubrick,Ryan O'Neal/Marisa Berenson
224,3-Iron,Crime/Drama/Romance,Ki-duk Kim,Seung-yeon Lee/Hyun-kyoon Lee
225,Roman Holiday (1953),Comedy/Romance,William Wyler,Gregory Peck/Audrey Hepburn
226,The Philadelphia Story,Comedy/Romance,George Cukor,Cary Grant/Katharine Hepburn
227,The King's Speech,Biography/Drama,Tom Hooper,Colin Firth/Geoffrey Rush
228,"Spring, Summer, Fall, Winter... and Spring",Drama,Ki-duk Kim,Ki-duk Kim/Yeong-su Oh
229,Chungking Express,Comedy/Drama/Romance,Kar-Wai Wong,Brigitte Lin/Takeshi Kaneshiro
